transaction_id,customer_id,transaction_date,transaction_status,coupon_name,burn_date,branch_id,days_to_burn,join_date,city_id,gender_id,city_name,gender_name,merchant_id,merchant_name
1,733,2024-05-11,subscribed,uNY-568,,7,,2023-05-16,15,2,Aswan,Female,7,Berry-Anderson
2,631,2023-05-15,burned,kBx-219,2023-06-04,5,20.0,2022-10-10,14,2,Damietta,Female,9,"Campbell, Shaffer and Martinez"
3,309,2022-11-13,subscribed,PLG-122,,7,,2022-05-30,2,1,Alexandria,Male,7,Berry-Anderson
4,695,2024-01-26,subscribed,Wzf-897,,2,,2023-11-27,15,2,Aswan,Female,18,Lewis LLC
5,288,2022-10-12,burned,qGb-428,2022-11-20,6,39.0,2021-09-04,14,1,Damietta,Male,15,Butler-Gomez
6,307,2023-01-01,subscribed,gke-047,,8,,2021-12-20,2,1,Alexandria,Male,20,Griffin-Leblanc
7,812,2024-03-02,burned,Xrl-052,2024-03-19,1,17.0,2023-10-27,8,1,El-Mahalla El-Kubra,Male,11,"Smith, Lawson and Hernandez"
8,594,2024-04-23,burned,ogZ-906,2024-07-17,4,85.0,2024-01-30,3,1,Giza,Male,15,Butler-Gomez
9,966,2023-04-12,burned,dwn-619,2023-05-19,1,37.0,2022-10-13,12,1,Fayyum,Male,11,"Smith, Lawson and Hernandez"
10,914,2023-03-17,burned,Wjs-081,2023-04-22,1,36.0,2022-12-09,20,2,Sohag,Female,11,"Smith, Lawson and Hernandez"
11,723,2022-12-17,burned,qsG-668,2023-01-02,10,16.0,2021-09-12,15,2,Aswan,Female,13,Thomas-Nelson
12,662,2024-06-23,subscribed,Ott-996,,8,,2024-06-04,6,1,Suez,Male,20,Griffin-Leblanc
13,549,2024-04-17,subscribed,xdK-583,,7,,2021-10-04,1,2,Cairo,Female,7,Berry-Anderson
14,352,2023-12-12,subscribed,QPt-905,,10,,2023-07-21,20,2,Sohag,Female,13,Thomas-Nelson
15,312,2024-07-02,subscribed,dQQ-520,,1,,2024-03-11,1,1,Cairo,Male,11,"Smith, Lawson and Hernandez"
16,873,2024-06-02,burned,nLe-045,2024-06-09,2,7.0,2023-01-12,14,2,Damietta,Female,18,Lewis LLC
17,59,2024-05-19,burned,HBW-410,2024-06-13,4,25.0,2024-04-16,2,1,Alexandria,Male,15,Butler-Gomez
18,643,2023-07-25,subscribed,FGB-201,,1,,2022-12-31,8,2,El-Mahalla El-Kubra,Female,11,"Smith, Lawson and Hernandez"
19,924,2023-10-25,burned,pAF-254,2023-11-17,3,23.0,2023-04-27,5,1,Port Said,Male,8,Medina-Foster
20,714,2024-02-23,subscribed,vnV-247,,8,,2022-12-26,9,2,Tanta,Female,20,Griffin-Leblanc
21,755,2022-12-17,subscribed,ZOi-128,,8,,2021-07-29,7,1,Mansoura,Male,20,Griffin-Leblanc
22,35,2024-07-14,subscribed,MGf-702,,8,,2024-06-24,4,1,Shubra El-Kheima,Male,20,Griffin-Leblanc
23,445,2024-06-19,burned,ZXq-907,2024-08-11,6,53.0,2023-05-18,13,2,Zagazig,Female,15,Butler-Gomez
24,93,2023-10-08,burned,vQA-115,2023-10-13,6,5.0,2022-03-24,7,2,Mansoura,Female,15,Butler-Gomez
25,950,2023-06-14,burned,ySc-600,2023-08-05,5,52.0,2022-02-16,8,2,El-Mahalla El-Kubra,Female,9,"Campbell, Shaffer and Martinez"
26,959,2023-01-07,burned,BfN-617,2023-03-23,9,75.0,2022-04-04,8,2,El-Mahalla El-Kubra,Female,13,Thomas-Nelson
27,207,2023-12-30,subscribed,IRP-445,,4,,2023-08-08,1,1,Cairo,Male,15,Butler-Gomez
28,353,2023-08-11,burned,Spf-377,2023-10-19,10,69.0,2023-03-05,15,1,Aswan,Male,13,Thomas-Nelson
